feature,importance
categorical__district_name_Ferozpur,0.00041257867
categorical__district_name_Raichur,0.00041014323
categorical__district_name_Chhindwara,0.00039742843
categorical__district_name_Lakhimpur,0.00039448118
categorical__district_name_Hoshangabad,0.00039220118
categorical__district_name_Valsad,0.00038771602
categorical__district_name_Osmanabad,0.00037964073
categorical__district_name_Dakshina Kannada,0.00036271152
categorical__district_name_Satara,0.00035523786
categorical__crop_name_Sunflower,0.00035102988
categorical__district_name_24 Parganas,0.0003498648
categorical__district_name_Karnal,0.00034161724
categorical__district_name_South Arcot / Cuddalore,0.00033043497
categorical__district_name_Dhanbad,0.00032823236
categorical__district_name_Kullu,0.0003261141
categorical__district_name_Bilaspur,0.00032037133
categorical__district_name_Beed,0.00031045752
categorical__district_name_Purulia,0.00029141785
categorical__crop_name_Soyabean,0.000289426
categorical__district_name_Uttar Kashi,0.00026542618
categorical__district_name_Phulbani ( Kandhamal ),0.00023487065
categorical__district_name_Birbhum,0.00022759846
categorical__district_name_Ganganagar,0.00021397101
categorical__district_name_Hassan,0.00019142861
categorical__district_name_Junagadh,0.00018946236
categorical__district_name_Rajkot,0.00018048282
categorical__district_name_Bhilwara,0.00016949078
categorical__district_name_Darjeeling,0.00016726063
categorical__district_name_Raipur,0.00016486262
categorical__district_name_Bundi,0.00015973936
categorical__district_name_Champaran,0.00015198886
categorical__district_name_Ludhiana,0.0001487775
categorical__district_name_Thiruvananthapuram,0.00014615676
categorical__district_name_Khargone / West Nimar,0.00014425965
categorical__district_name_Barabanki,0.00014098172
categorical__district_name_Wardha,0.00014081183
categorical__district_name_Bhavnagar,0.00013757948
categorical__district_name_Chittorgarh,0.00012674685
categorical__district_name_Sirohi,0.00012216823
categorical__district_name_Damoh,0.00011471893
categorical__district_name_Aurangabad,0.00010048177
categorical__district_name_Santhal Paragana / Dumka,9.07827e-05
categorical__district_name_Darbhanga,8.960581e-05
categorical__district_name_Gaya,8.215369e-05
categorical__district_name_Yeotmal,8.0583464e-05
categorical__district_name_Ajmer,7.575401e-05
categorical__district_name_Amarawati,6.804822e-05
categorical__district_name_Hissar,6.304711e-05
categorical__district_name_Indore,5.8526683e-05
categorical__district_name_Alappuzha,5.594564e-05
categorical__district_name_Pali,4.7909944e-05
categorical__district_name_Gurdaspur,3.9754177e-05
categorical__district_name_Bidar,3.8038168e-05
categorical__district_name_Sikar,3.577175e-05
categorical__crop_name_Pearl Millet,3.190908e-05
categorical__district_name_Malappuram,3.0629777e-05
categorical__district_name_Solapur,2.9029958e-05
categorical__district_name_Ahmedabad,2.803805e-05
categorical__crop_name_Finger Millet,2.5974265e-05
categorical__district_name_Sibsagar,1.4543207e-05
categorical__district_name_Kottayam,1.4438716e-05
categorical__district_name_Belgaum,1.1405349e-05
categorical__district_name_Dungarpur,1.7749381e-06
categorical__district_name_Bharuch,0.0
categorical__district_name_Kota,0.0
categorical__district_name_Mandsaur,0.0
categorical__district_name_Mandla,0.0
categorical__district_name_Mainpuri,0.0
categorical__district_name_Kutch,0.0
categorical__district_name_Chhatarpur,0.0
categorical__district_name_Agra,0.0
categorical__district_name_Kozhikode,0.0
categorical__district_name_Buland Shahar,0.0
categorical__district_name_Budaun,0.0
categorical__district_name_Ahmednagar,0.0
categorical__district_name_Narsinghpur,0.0
categorical__district_name_Bahraich,0.0
categorical__district_name_Nainital,0.0
categorical__district_name_Chamoli,0.0
categorical__district_name_Nagaon,0.0
categorical__district_name_Chamba,0.0
categorical__district_name_Muzaffarnagar,0.0
categorical__district_name_Murshidabad,0.0
categorical__district_name_Morena,0.0
categorical__district_name_Moradabad,0.0
categorical__district_name_Mirzpur,0.0
categorical__district_name_Mehsana,0.0
categorical__district_name_Meerut,0.0
categorical__district_name_Medak,0.0
categorical__district_name_Mathura,0.0
categorical__district_name_Pratapgarh,0.0
categorical__district_name_Pithorgarh,0.0
